Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO
436,Norway,2016,12.7747772724076,9.53222061403959,14.1883551645312,88,47.5,71.4333333333333,74.2666666666667,4.47733681447821,3.8607297110406,4.26876461381142,4.30766221938502
437,Norway,2017,12.8176020309611,9.53729314633848,14.2139855587142,86.1,64.1666666666667,71.3666666666667,74.2333333333333,4.45550941143369,4.16148386505973,4.26783090692753,4.30721328559521
438,Norway,2018,12.90336084958,9.558730312303,14.2394521220617,88.6666666666667,61.1333333333333,72.9666666666667,74.3,4.48488402011359,4.11305727115425,4.29000271586071,4.30811095172371
439,Norway,2019,12.8898103833056,9.57962877777925,14.2670855703947,86.5333333333334,60,72.8333333333333,72.7333333333333,4.46052969616183,4.0943445622221,4.28817372586753,4.28679978473086
440,Poland,2000,13.2756320612446,11.4184439505182,14.0435618000271,58,45.9,68.45,64.9333333333333,4.06044301054642,3.8264651170665,4.22610355173446,4.17336110254032
441,Poland,2001,13.2797863759234,11.403036547584,14.0828972682016,56,52.9,70.45,65.8666666666667,4.02535169073515,3.96840333886425,4.25490323834469,4.18763249664566
442,Poland,2002,13.3023525287542,11.3757583343301,14.1140139918128,55.5,57.45,70.2,72.9333333333333,4.01638302075239,4.05091500429476,4.25134831103177,4.28954578187972
443,Poland,2003,13.310965482699,11.3727278621517,14.1441996247917,55.5,55.85,71.75,63.4,4.01638302075239,4.02266952551521,4.27318785463973,4.14946386144318
444,Poland,2004,13.345991611241,11.3901353957539,14.1772184394158,45,50,74.05,63.4666666666667,3.80666248977032,3.91202300542815,4.30474054071381,4.15051483368916
445,Poland,2005,13.3971589937402,11.4149557870357,14.2139260030793,43,49.3,70.7666666666667,66.4,3.76120011569356,3.89792408104864,4.2593880800411,4.19569705648239
446,Poland,2006,13.4334541593272,11.4543221108505,14.259098300386,42.5,54.1,65.7666666666667,67.4666666666667,3.74950407593037,3.99083418585244,4.18611312436046,4.2116336487452
447,Poland,2007,13.5182378924459,11.5044596475341,14.3147294859055,42,56.7,65.6666666666667,62.2,3.73766961828337,4.03777421073371,4.18459144006988,4.13035499974513
448,Poland,2008,13.5807636978813,11.5449261515216,14.3711439133288,43.5,56.0248,65.9327039266667,68.6666666666667,3.77276093809464,4.02579444984572,4.18863458436776,4.22926388012147
449,Poland,2009,13.6150864084961,11.5491759772488,14.4195831028211,46,55.57465,64.7600218933333,68.6,3.8286413964891,4.01772716203466,4.17068846687814,4.22829253473184
