Index,country,year,delta_Lnrgdpo,delta_Lnlabor_stock,delta_Lncapital_stock,delta_RL,delta_GS,delta_RE,delta_MO
235,Greece,2015,0.00810873685959912,0.0220351613034993,-0.00806342270129967,3.4,-10.45,-1.09999999999999,0.066666666666606
236,Greece,2016,-0.0238323328399996,0.0111911643904001,-0.0070097283681001,1.5,0.100000000000001,-0.3333333333334,-3.3333333333333
237,Greece,2017,0.0208863595265996,0.0274889358676003,-0.00474237176250014,8.4666666666667,9.3333333333333,0.599999999999994,-0.3333333333333
238,Greece,2018,0.000240052236501143,0.0211392921961995,-0.00629828042190006,-0.233333333333398,9.0666666666667,2.09999999999999,-1.7
239,Greece,2019,0.0176098957821988,0.0207197347565007,-0.00711429866779945,-3.2,3.2,-1.36666666666659,3.0333333333333
241,Hungary,2001,0.0560119112292004,-0.0064593715983996,0.0296099089545994,1,2.2,1.85000000000001,0.399999999999992
242,Hungary,2002,0.0524870415173009,0.00130181097079962,0.0319671707944007,0,-7.05,0.699999999999989,0.733333333333306
243,Hungary,2003,0.0344795166243994,0.0148118066127996,0.0296051784391995,0.5,-2.8,-2.05,-1.3333333333333
244,Hungary,2004,-0.0116229186526997,0.000109469167700382,0.0325257031518014,-2,-1.1,1.55,0
245,Hungary,2005,0.1024289410755,-0.0113493905212998,0.0322516009533,-0.5,3.9,-0.5833333333333,-2
246,Hungary,2006,-0.000569829271000799,0.00555658634310063,0.0298566626631995,0,0.899999999999999,0.266666666666708,4.1333333333333
247,Hungary,2007,0.00570664221540085,-0.0133861161149014,0.029550475374899,1,0.149999999999999,0.299999999999898,-1.93333333333329
248,Hungary,2008,0.0785706102427,-0.00711814166039915,0.0270273818140012,1,0.466250000000002,2.14448717000001,6.4666666666667
249,Hungary,2009,-0.0376926449972004,-0.0296313592985999,0.0190903832668994,0.5,-3.38685,-0.7793255666666,-0.0666666666667055
250,Hungary,2010,0.0547644147754998,0.00698285417020017,0.0123598080055007,-3.5,2.3706,-0.365161603333405,-1.09999999999999
251,Hungary,2011,0.0217357119711004,-0.00159805526729961,0.0108481504300997,0,1.3,0.533333333333403,0.033333333333303
252,Hungary,2012,-0.0129208686468001,0.0057488763087985,0.00854613259359915,0.5,2.95,1.1333333333333,-1.8333333333333
253,Hungary,2013,0.00183232618689999,0.0141948467144015,0.0128917521262011,-3,3.2,-0.966666666666697,1.56666666666669
254,Hungary,2014,0.0214086398001996,0.0576786531197993,0.0183563011636991,-1.2,-0.75,0,0.3333333333333
255,Hungary,2015,0.0124516356053004,0.0248359552312998,0.019561745215201,0.200000000000003,-1.65000000000001,0.266666666666694,0.0666666666667055
256,Hungary,2016,0.000928132191100772,0.0496936826913998,0.0107421320378993,-5,0.400000000000006,0.433333333333309,0
257,Hungary,2017,0.0566389664648987,0.0167788752361009,0.0200898306136992,1.6333333333333,8.59999999999999,-0.866666666666603,-0.3333333333334
258,Hungary,2018,0.0343959137901013,0.0163935543885998,0.0278200808615008,-0.766666666666595,2.1666666666667,0.6666666666666,1.6333333333334
259,Hungary,2019,0.0439085562820001,0.0189944852210999,0.0331567866022002,-3.23333333333341,1.6333333333333,-4.8333333333333,-0.299999999999997
261,Iceland,2001,0.0500556445211604,0.0263789710120799,0.0229217562339006,-0.5,-0.950000000000003,-1,0
