Index,country,year,Lnrgdpo,Lnlabor_stock,Lncapital_stock,RL,GS,RE,MO,LnRL,LnGS,LnRE,LnMO,d_Lnrgdpo,d_Lnlabor_stock,d_Lncapital_stock,d_RL,d_GS,d_RE,d_MO
443,Poland,2003,13.310965482699,11.3727278621517,14.1441996247917,55.5,55.85,71.75,63.4,4.01638302075239,4.02266952551521,4.27318785463973,4.14946386144318,0.008612953944799884,-0.0030304721784002453,0.03018563297889898,0.0,-1.6000000000000014,1.5499999999999972,-9.533333333333296
444,Poland,2004,13.345991611241,11.3901353957539,14.1772184394158,45.0,50.0,74.05,63.4666666666667,3.80666248977032,3.91202300542815,4.30474054071381,4.15051483368916,0.03502612854200038,0.017407533602199265,0.033018814624099946,-10.5,-5.850000000000001,2.299999999999997,0.0666666666666984
445,Poland,2005,13.3971589937402,11.4149557870357,14.2139260030793,43.0,49.3,70.7666666666667,66.4,3.76120011569356,3.89792408104864,4.2593880800411,4.19569705648239,0.05116738249919983,0.024820391281799914,0.0367075636634997,-2.0,-0.7000000000000028,-3.283333333333303,2.9333333333333087
446,Poland,2006,13.4334541593272,11.4543221108505,14.259098300386,42.5,54.1,65.7666666666667,67.4666666666667,3.74950407593037,3.99083418585244,4.18611312436046,4.2116336487452,0.03629516558699919,0.0393663238148001,0.045172297306701026,-0.5,4.800000000000004,-5.0,1.0666666666666913
447,Poland,2007,13.5182378924459,11.5044596475341,14.3147294859055,42.0,56.7,65.6666666666667,62.2,3.73766961828337,4.03777421073371,4.18459144006988,4.13035499974513,0.0847837331186998,0.050137536683600104,0.05563118551950019,-0.5,2.6000000000000014,-0.09999999999999432,-5.266666666666694
448,Poland,2008,13.5807636978813,11.5449261515216,14.3711439133288,43.5,56.0248,65.9327039266667,68.6666666666667,3.77276093809464,4.02579444984572,4.18863458436776,4.22926388012147,0.06252580543540098,0.04046650398750096,0.05641442742329872,1.5,-0.6752000000000038,0.2660372600000045,6.466666666666697
449,Poland,2009,13.6150864084961,11.5491759772488,14.4195831028211,46.0,55.57465,64.7600218933333,68.6,3.8286413964891,4.01772716203466,4.17068846687814,4.22829253473184,0.0343227106148003,0.004249825727198342,0.04843918949230108,2.5,-0.4501500000000007,-1.1726820333334018,-0.06666666666670551
450,Poland,2010,13.7079179697516,11.5272005220182,14.4642897103951,50.5,60.85,67.2666666666667,69.1666666666667,3.92197333628131,4.10841181943354,4.2086648192514,4.23651905100264,0.0928315612554993,-0.021975455230599295,0.04470660757399969,4.5,5.275350000000003,2.5066447733333916,0.5666666666667055
451,Poland,2011,13.7760517614714,11.5359220953031,14.5127754469376,55.0,58.9,66.9,70.8666666666667,4.00733318523247,4.07584109065754,4.20319896713418,4.26080017723974,0.06813379171980039,0.008721573284899975,0.048485736542499325,4.5,-1.9500000000000028,-0.36666666666668846,1.7000000000000028
452,Poland,2012,13.7958782874066,11.5402975806716,14.5553251155765,56.5,57.35,67.2666666666667,70.7,4.0342406381524,4.04917284357538,4.2086648192514,4.25844557290253,0.019826525935199513,0.00437548536850052,0.04254966863889997,1.5,-1.5499999999999972,0.36666666666668846,-0.16666666666669983
453,Poland,2013,13.7926982624068,11.5440014939566,14.5934183551528,57.5,59.5,68.2,73.9333333333333,4.05178494780331,4.08597631255158,4.22244456484942,4.30316378624816,-0.0031800249997999686,0.003703913284999416,0.038093239576300064,1.0,2.1499999999999986,0.9333333333333087,3.2333333333332916
