Index,country,year,rgdpo,Lnrgdpo,labor_stock,capital_stock,capital_labor_ratio,Lncap_lab_ratio,Overall_Score,Property_Rights,Judicial_Effectiveness,Government_Integrity,Rule_of_law,Tax_Burden,Government_Spending,Fiscal_Health,Government_size,Business_Freedom,Labor_Freedom,Monetary_Freedom,Regulatory_efficiency,Trade_Freedom,Investment_Freedom,Financial_Freedom,Market_openness
353,Lithuania,2013,77322.859375,11.2557449136913,7920.17301045477,288873.801279458,36.4731680606143,3.59657686862704,72.1,60,,48,54,92.8,53.6,,73.2,77.6,64.1,78.3,73.3333333333333,86.8,80,80,82.2666666666667
354,Lithuania,2014,79913.2734375,11.2886972435828,8054.14004122535,294564.477400469,36.5730513615026,3.59931166760588,73,60,,49.9,54.95,92.9,55.9,,74.4,85.7,59,78.6,74.4333333333333,87.8,80,80,82.6
355,Lithuania,2015,79636.4375,11.2852270246311,8291.20280227432,300825.479288715,36.2824895811494,3.59133524420322,74.7,60,,57,58.5,92.9,61.3,,77.1,84.9,62,81.2,76.0333333333334,88,80,80,82.6666666666667
356,Lithuania,2016,81158.296875,11.3041568089364,8614.53886350744,307137.030177892,35.653333863171,3.5738426589864,75.2,65,,58,61.5,92.9,63.8,,78.35,80,60,84.6,74.8666666666667,88,80,80,82.6666666666667
357,Lithuania,2017,84886.65625,11.3490721897467,8394.78937153961,314415.041912895,37.4535950811153,3.62310270218134,75.8,73,62.4,69.7,68.3666666666667,86.9,64.1,93.6,81.5333333333333,79.1,63.6,90,77.5666666666667,87,70,70,75.6666666666667
358,Lithuania,2018,86619.15625,11.3692762738992,8538.81546165186,322961.223657463,37.822719686108,3.63290997196444,75.3,73.8,66.7,50.9,63.8,86.4,63.9,96.7,82.3333333333333,73.4,64.5,89.9,75.9333333333333,86.9,80,70,78.9666666666667
359,Lithuania,2019,89642.1796875,11.4035812436333,8577.81532827858,332155.395887012,38.7226097992564,3.65642366197727,74.2,73.6,61.2,47.8,60.8666666666667,86.4,65.1,97.3,82.9333333333333,75.2,63.6,84.6,74.4666666666667,86,80,70,78.6666666666667
360,Luxembourg,2000,29038.34375,10.2763724339101,1210.09490498858,119173.731055806,98.4829624226297,4.58988356288832,76.4,90,,87,88.5,51.3,67.3,,59.3,85,,88.3,86.65,79,70,70,73
361,Luxembourg,2001,27308.109375,10.2149389837667,1273.40974117314,123114.228632506,96.6807655476908,4.57141447417061,80.1,90,,88,89,52.5,58.9,,55.7,85,,88.6,86.8,78,90,90,86
362,Luxembourg,2002,26584.765625,10.1880936098379,1313.75680591327,126555.468804975,96.3309710254927,4.56778987691693,79.4,90,,86,88,56.8,52,,54.4,85,,85.2,85.1,79.6,90,90,86.5333333333334
363,Luxembourg,2003,25839.4453125,10.1596574914316,1342.26204814015,131629.150020372,98.0651655932301,4.58563221271889,79.9,90,,87,88.5,59.8,51.5,,55.65,85,,84.7,84.85,81.4,90,90,87.1333333333333
364,Luxembourg,2004,24008.029296875,10.0861436074158,1378.68124819036,136327.084651418,98.8822360718689,4.59392960744913,78.9,90,,90,90,58.9,41.4,,50.15,85,,85.3,85.15,79.8,90,90,86.6
365,Luxembourg,2005,30263.482421875,10.317697064061,1400.53527101946,143147.930315774,102.209443259202,4.6270240732975,76.3,90,,87,88.5,64.3,39,,51.65,85,51.4,85.9,74.1,80.2,90,90,86.7333333333333
366,Luxembourg,2006,30170.251953125,10.3146116832328,1476.17124306777,148015.81623485,100.270085147604,4.60786739671872,75.3,90,,84,87,65.7,36.8,,51.25,76.9,51.4,85.7,71.3333333333333,82.4,90,90,87.4666666666667
367,Luxembourg,2007,32425.08203125,10.3866875390581,1581.59808914632,153710.94999899,97.1871116017576,4.57663810598494,74.6,90,,85,87.5,65.3,44,,54.65,76.9,47.8,80.2,68.3,86.6,90,80,85.5333333333334
368,Luxembourg,2008,32211.30859375,10.3800728684404,1685.37404104878,160505.632801027,95.234428021181,4.55634151529969,74.66880629,90,,86,88,65.4083,44.7877,,55.098,77.28469126,47.4,79.78133488,68.1553420466667,86,90,80,85.3333333333333
369,Luxembourg,2009,30086.37109375,10.3118275606147,1675.87582573865,164506.71894503,98.1616396743016,4.58661550436157,75.19454271,90,,84,87,66.335275,54.37,,60.3526375,76.17806193,45.1,80.16051462,67.1461921833333,85.8,90,80,85.2666666666667
370,Luxembourg,2010,34426.83984375,10.4465917671578,1735.5946338027,169571.343009477,97.7021590795916,4.58192365787919,75.4,90,,83,86.5,65.9,58.5,,62.2,75.1,40.4,78.9,64.8,87.5,95,80,87.5
371,Luxembourg,2011,34691.48046875,10.4542494161575,1808.82931275623,176339.944915546,97.4884383352045,4.57973378979511,76.2,90,,82,86,66.7,58.5,,62.6,76.4,44.1,82.1,67.5333333333333,87.6,95,80,87.5333333333334
372,Luxembourg,2012,36499.7734375,10.5050613323595,1865.35615200482,182972.62875033,98.0899162627348,4.58588457089796,74.5,90,,85,87.5,63.6,46.6,,55.1,75.9,40.9,81.3,66.0333333333334,87.1,95,80,87.3666666666667
373,Luxembourg,2013,35713.08203125,10.4832723440961,1916.19672869932,189316.750276591,98.7981805005459,4.59307918859787,74.2,90,,85,87.5,65,47.1,,56.05,74.8,39,79.3,64.3666666666667,86.8,95,80,87.2666666666667
374,Luxembourg,2014,42431.20703125,10.6556393853819,1993.83218644351,196502.455391668,98.5551626298994,4.5906164181211,74.2,90,,84.1,87.05,62.8,47.6,,55.2,72.6,43.1,78.9,64.8666666666667,87.8,95,80,87.6
375,Luxembourg,2015,46689.50390625,10.7512746626408,2080.81023281302,202518.336328379,97.3266726272281,4.57807307934656,73.2,90,,80,85,62.3,42.2,,52.25,71.3,42.1,80.7,64.7,88,95,80,87.6666666666667
376,Luxembourg,2016,50115.65625,10.822088738255,2168.18337057335,208903.91463666,96.3497448933103,4.56798474714862,73.9,90,,82,86,61.1,43,,52.05,73.7,42.6,83.2,66.5,88,95,80,87.6666666666667
377,Luxembourg,2017,53625.59375,10.8897817284301,2264.86623953674,215409.058862802,95.108953942844,4.55502311804084,75.9,85.8,77,78.3,80.3666666666667,64.5,46,99,69.8333333333333,68.6,43.8,86.2,66.2,87,95,80,87.3333333333333
378,Luxembourg,2018,53538.56640625,10.8881575405905,2387.46606494456,221139.802555683,92.6253176129723,4.52856251263032,76.4,82.7,77.9,79,79.8666666666667,65.1,48.5,99,70.8666666666667,69.2,46.2,87.6,67.6666666666667,86.9,95,80,87.3
379,Luxembourg,2019,55710.79296875,10.9279291767809,2510.42103504601,227437.838209745,90.597487447191,4.50642648029342,75.9,83,72.4,85.8,80.4,65.4,46.6,98.9,70.3,68.8,45.9,82.6,65.7666666666667,86,95,80,87
